timestamp,cpu_pct,ram_pct,ram_used_mb,ram_total_mb,ctx_switches,uptime_sec
2026-05-19T19:18:01,3.69,30.40,1180,3881,682077,651.39
2026-05-19T19:18:06,4.23,30.40,1180,3881,686579,656.47
2026-05-19T19:18:11,5.24,30.48,1183,3881,691821,661.51
2026-05-19T19:18:16,2.74,30.51,1184,3881,697956,666.54
2026-05-19T19:18:21,3.52,30.69,1191,3881,704384,671.56
2026-05-19T19:18:26,0.50,30.71,1192,3881,708768,676.59
2026-05-19T19:18:31,7.14,30.74,1193,3881,715212,681.62
2026-05-19T19:18:36,0.74,30.74,1193,3881,719679,686.68
2026-05-19T19:18:41,6.97,30.77,1194,3881,723640,691.72
2026-05-19T19:18:46,5.22,30.77,1194,3881,728832,696.75
2026-05-19T19:18:51,3.22,30.82,1196,3881,732759,701.78
2026-05-19T19:18:56,5.93,30.84,1197,3881,737944,706.81
2026-05-19T19:19:02,3.21,30.84,1197,3881,741802,711.85
2026-05-19T19:19:07,1.73,30.84,1197,3881,745696,716.91
2026-05-19T19:19:12,5.22,30.84,1197,3881,750626,721.95
2026-05-19T19:19:17,2.74,30.84,1197,3881,754590,726.98
2026-05-19T19:19:22,5.69,30.84,1197,3881,759706,732.01
2026-05-19T19:19:27,1.49,30.89,1199,3881,763666,737.04
2026-05-19T19:19:32,3.70,30.89,1199,3881,768756,742.06
2026-05-19T19:19:37,4.01,30.84,1197,3881,773722,747.09
2026-05-19T19:19:42,1.74,30.87,1198,3881,777853,752.12
2026-05-19T19:19:47,4.73,30.89,1199,3881,782877,757.15
2026-05-19T19:19:52,0.25,30.89,1199,3881,786934,762.17
2026-05-19T19:19:57,3.99,30.89,1199,3881,792100,767.27
2026-05-19T19:20:02,1.00,30.89,1199,3881,796083,772.34
2026-05-19T19:20:07,0.50,30.92,1200,3881,799896,777.36
2026-05-19T19:20:12,2.23,30.95,1201,3881,805032,782.44
2026-05-19T19:20:17,1.49,30.77,1194,3881,808940,787.49
2026-05-19T19:20:22,4.48,30.82,1196,3881,814032,792.52
2026-05-19T19:20:27,0.50,30.84,1197,3881,817994,797.55
2026-05-19T19:20:32,3.46,30.87,1198,3881,822089,802.57
2026-05-19T19:20:37,2.74,30.89,1199,3881,826897,807.59
2026-05-19T19:20:42,0.75,30.89,1199,3881,830737,812.61
2026-05-19T19:20:47,2.49,30.95,1201,3881,835783,817.63
2026-05-19T19:20:52,0.50,30.95,1201,3881,839570,822.65
2026-05-19T19:20:57,4.46,30.97,1202,3881,844544,827.68
2026-05-19T19:21:02,1.49,31.00,1203,3881,848544,832.72
2026-05-19T19:21:07,4.20,30.66,1190,3881,853485,837.77
2026-05-19T19:21:12,2.73,30.69,1191,3881,857401,842.80
2026-05-19T19:21:18,0.98,30.71,1192,3881,861331,847.89
2026-05-19T19:21:23,2.01,30.74,1193,3881,866367,852.95
2026-05-19T19:21:28,1.24,30.74,1193,3881,870750,858.00
2026-05-19 19:33:49,1,1639628,3974276,41.256
2026-05-19 19:33:54,4.97512,1640340,3974276,41.2739
2026-05-19 19:33:59,2.01005,1642828,3974276,41.3365
2026-05-19 19:34:04,6.96517,1643576,3974276,41.3554
2026-05-19 19:34:09,2.48756,1645080,3974276,41.3932
2026-05-19 19:34:14,3.46535,1645264,3974276,41.3978
2026-05-19 19:34:19,6.5,1645752,3974276,41.4101
2026-05-19 19:34:24,2.98507,1646428,3974276,41.4271
2026-05-19 19:34:29,2.5,1646884,3974276,41.4386
2026-05-19 19:34:34,2.98507,1647368,3974276,41.4508
2026-05-19 19:34:39,1.50754,1648376,3974276,41.4761
2026-05-19T19:42:35,5.93,40.07,1555,3881,1929716,2125.81
2026-05-19T19:42:40,1.50,40.12,1557,3881,1933999,2130.84
2026-05-19 20:09:40,3.9801,1457548,3974276,36.6746
2026-05-19 20:09:45,0.995025,1458296,3974276,36.6934
2026-05-19 20:09:51,3.48259,1459796,3974276,36.7311
2026-05-19 20:09:56,0.990099,1460300,3974276,36.7438
2026-05-19 20:10:01,0.5,1460812,3974276,36.7567
2026-05-19 20:10:06,4.0201,1460752,3974276,36.7552
2026-05-19 20:10:11,0.497512,1460692,3974276,36.7537
2026-05-19 20:10:16,2.9703,1467116,3974276,36.9153
2026-05-19 20:10:21,0.5,1467108,3974276,36.9151
2026-05-19 20:10:26,0,1467236,3974276,36.9183
2026-05-19 20:10:31,6.56566,1467968,3974276,36.9367
2026-05-19 20:28:54,0.995025,1657096,3974276,41.6955
2026-05-19 20:28:59,6.96517,1658352,3974276,41.7271
2026-05-19 20:34:49,0.5,1645312,3974276,41.399
2026-05-19 20:34:54,0,1645808,3974276,41.4115
2026-05-19 20:34:59,0,1646552,3974276,41.4302
2026-05-19 20:35:04,0,1646796,3974276,41.4364
2026-05-19 20:35:09,7.42574,1647796,3974276,41.4615
2026-05-19 20:35:14,0,1651788,3974276,41.562
2026-05-19 20:35:19,1.49254,1653040,3974276,41.5935
2026-05-19 20:35:24,6.03015,1654432,3974276,41.6285
2026-05-19 20:35:29,0.995025,1663976,3974276,41.8687
2026-05-19 20:45:10,0,1645584,3974276,41.4059
2026-05-19 20:45:15,0.995025,1648060,3974276,41.4682
2026-05-19 20:45:20,14.7783,1649812,3974276,41.5123
2026-05-19 20:45:25,4.0201,1651308,3974276,41.5499
2026-05-19 20:45:30,0.995025,1652816,3974276,41.5879
2026-05-19 20:45:35,5.47264,1653584,3974276,41.6072
2026-05-19 20:45:40,2,1653824,3974276,41.6132
2026-05-19 20:45:45,3.48259,1657880,3974276,41.7153
2026-05-19 20:45:50,0,1657864,3974276,41.7149
2026-05-19 20:45:55,2,1658104,3974276,41.7209
2026-05-19 20:46:00,8.41584,1658348,3974276,41.727
2026-05-19 20:46:05,1.50754,1666904,3974276,41.9423
2026-05-19 20:54:10,1.97044,1656564,3974276,41.6822
